"BehaviorSpace results (NetLogo 6.3.0)"
"deer_dispersal_death_v6.3-shorter steps-20yrs_debugged.nlogo"
"first 20 sims"
"05/02/2025 11:09:42:712 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-551","551","-879","879"
"[run number]","se-agricultural:step-length:winter:female","se-bare:step-length:summer:male","beta-slope:turning-angle","beta-wetlands:turning-angle","se-wetlands:step-length:summer:male","se-forest:step-length:summer:male","se-scrub:turning-angle","se-artificial:step-length:summer:female","beta-bare:step-length:summer:male","beta-bare:step-length:winter:female","beta-forest:step-length:summer:female","se-forest:distance-to-road","beta-slope:summer","beta-forest:step-length","beta-forest:distance-to-road","se-slope:winter","se-distance-from-release","beta-distance-to-road:turning-angle","beta-artificial","beta-forest:step-length:winter:male","beta-wetlands:step-length","beta-agricultural:step-length:summer:female","beta-wetlands:step-length:winter:female","pen-down?","beta-agricultural:step-length:winter:male","se-artificial:distance-to-road","beta-wetlands","se-agricultural:step-length:summer:female","se-wetlands:step-length:winter:male","se-distance-to-road:summer","se-wetlands:step-length:summer:female","annual-birth-prob","beta-distance-from-release","beta-forest:turning-angle","beta-artificial:turning-angle","se-forest:step-length:winter:female","se-wetlands:step-length","se-wetlands","beta-wetlands:step-length:winter:male","se-bare:step-length:summer:female","se-distance-to-road:winter","beta-bare:turning-angle","beta-agricultural","beta-agricultural:step-length","se-artificial:step-length:winter:female","se-bare:step-length","se-slope:step-length","beta-forest:step-length:winter:female","se-agricultural:step-length:winter:male","beta-agricultural:turning-angle","beta-scrub:turning-angle","se-step-length","beta-turning-angle","beta-agricultural:step-length:winter:female","beta-distance-to-road:winter","se-artificial:turning-angle","beta-agricultural:step-length:summer:male","se-wetlands:turning-angle","se-forest:step-length","se-distance-to-road","se-scrub:step-length:summer:male","se-scrub","beta-wetlands:distance-to-road","se-bare:distance-to-road","beta-scrub:distance-to-road","beta-scrub","se-wetlands:step-length:winter:female","se-artificial:step-length:winter:male","beta-distance-to-road","se-agricultural:turning-angle","se-artificial","beta-artificial:step-length:summer:male","beta-scrub:step-length:summer:female","se-slope","se-bare:step-length:winter:female","beta-wetlands:step-length:summer:male","beta-slope","se-forest","beta-artificial:step-length:winter:female","se-agricultural:step-length","beta-scrub:step-length:summer:male","beta-scrub:step-length","se-bare:step-length:winter:male","se-distance-to-road:turning-angle","beta-bare","se-scrub:step-length:winter:male","se-forest:step-length:winter:male","se-agricultural:step-length:summer:male","beta-bare:step-length:winter:male","beta-distance-to-road:summer","se-artificial:step-length","se-bare:turning-angle","se-slope:turning-angle","se-agricultural","beta-bare:step-length:summer:female","beta-artificial:step-length:winter:male","se-scrub:step-length:winter:female","beta-bare:distance-to-road","beta-artificial:distance-to-road","beta-slope:winter","beta-forest","beta-step-length","se-agricultural:distance-to-road","beta-artificial:step-length:summer:female","beta-scrub:step-length:winter:male","profile-tick-number","beta-wetlands:step-length:summer:female","max-lifespan-years","beta-artificial:step-length","se-turning-angle","max-step-distance","se-artificial:step-length:summer:male","se-forest:turning-angle","beta-scrub:step-length:winter:female","beta-bare:step-length","se-scrub:distance-to-road","annual-survival-prob","se-wetlands:distance-to-road","se-scrub:step-length","se-bare","se-forest:step-length:summer:female","beta-forest:step-length:summer:male","se-scrub:step-length:summer:female","beta-agricultural:distance-to-road","se-slope:summer","beta-slope:step-length","[step]"
"10","0.04976","0.04185","0.01336","-1.0E27","0","0.03607","0.102","0","-0.02799","-0.0833","0","2.881E-5","-0.009514","0.5917","2.366E-5","0","0.01676","5.199E-5","0","-0.03215","-1.0E27","0","-1.0E27","false","0.1182","0","-1.0E27","0","0","4.557E-5","0","0.65","-0.487","0.1875","0","0.01858","0","0","-1.0E27","0","0","0.7975","0.3253","0.6001","0.1196","0.1131","8.122E-4","0.00679","0.08206","-0.1254","0.2917","0.1107","-2.262","0.101","0","0","0.2533","0","0.1103","4.368E-5","0.03102","0.1004","-1.0E27","2.92E-5","2.56E-5","0.3444","0","0.1632","-3.16E-4","0.1084","0","0.5016","0","0.001808","0.03783","-1.0E27","0.02176","0.09768","0.3451","0.1164","0.1536","0.4643","0.04024","1.859E-6","0.5212","0.03355","0.03729","0.0656","-0.06209","1.88E-4","0","0.1042","0.001267","0.1091","0","-0.1581","0.02468","-2.992E-5","0","0","0.2462","-0.3101","3.755E-5","0","0.03264","600","-1.0E27","14","0","0.1027","26","0.4052","0.1014","0.04294","0.5453","2.9E-5","0.97","0","0.1109","0.1051","0","0.101","0","-1.454E-4","0.002181","-0.009516","18264"
"4","0.04976","0.04185","0.01336","-1.0E27","0","0.03607","0.102","0","-0.02799","-0.0833","0","2.881E-5","-0.009514","0.5917","2.366E-5","0","0.01676","5.199E-5","0","-0.03215","-1.0E27","0","-1.0E27","false","0.1182","0","-1.0E27","0","0","4.557E-5","0","0.65","-0.487","0.1875","0","0.01858","0","0","-1.0E27","0","0","0.7975","0.3253","0.6001","0.1196","0.1131","8.122E-4","0.00679","0.08206","-0.1254","0.2917","0.1107","-2.262","0.101","0","0","0.2533","0","0.1103","4.368E-5","0.03102","0.1004","-1.0E27","2.92E-5","2.56E-5","0.3444","0","0.1632","-3.16E-4","0.1084","0","0.5016","0","0.001808","0.03783","-1.0E27","0.02176","0.09768","0.3451","0.1164","0.1536","0.4643","0.04024","1.859E-6","0.5212","0.03355","0.03729","0.0656","-0.06209","1.88E-4","0","0.1042","0.001267","0.1091","0","-0.1581","0.02468","-2.992E-5","0","0","0.2462","-0.3101","3.755E-5","0","0.03264","600","-1.0E27","14","0","0.1027","26","0.4052","0.1014","0.04294","0.5453","2.9E-5","0.97","0","0.1109","0.1051","0","0.101","0","-1.454E-4","0.002181","-0.009516","18264"
"1","0.04976","0.04185","0.01336","-1.0E27","0","0.03607","0.102","0","-0.02799","-0.0833","0","2.881E-5","-0.009514","0.5917","2.366E-5","0","0.01676","5.199E-5","0","-0.03215","-1.0E27","0","-1.0E27","false","0.1182","0","-1.0E27","0","0","4.557E-5","0","0.65","-0.487","0.1875","0","0.01858","0","0","-1.0E27","0","0","0.7975","0.3253","0.6001","0.1196","0.1131","8.122E-4","0.00679","0.08206","-0.1254","0.2917","0.1107","-2.262","0.101","0","0","0.2533","0","0.1103","4.368E-5","0.03102","0.1004","-1.0E27","2.92E-5","2.56E-5","0.3444","0","0.1632","-3.16E-4","0.1084","0","0.5016","0","0.001808","0.03783","-1.0E27","0.02176","0.09768","0.3451","0.1164","0.1536","0.4643","0.04024","1.859E-6","0.5212","0.03355","0.03729","0.0656","-0.06209","1.88E-4","0","0.1042","0.001267","0.1091","0","-0.1581","0.02468","-2.992E-5","0","0","0.2462","-0.3101","3.755E-5","0","0.03264","600","-1.0E27","14","0","0.1027","26","0.4052","0.1014","0.04294","0.5453","2.9E-5","0.97","0","0.1109","0.1051","0","0.101","0","-1.454E-4","0.002181","-0.009516","18264"
"16","0.04976","0.04185","0.01336","-1.0E27","0","0.03607","0.102","0","-0.02799","-0.0833","0","2.881E-5","-0.009514","0.5917","2.366E-5","0","0.01676","5.199E-5","0","-0.03215","-1.0E27","0","-1.0E27","false","0.1182","0","-1.0E27","0","0","4.557E-5","0","0.65","-0.487","0.1875","0","0.01858","0","0","-1.0E27","0","0","0.7975","0.3253","0.6001","0.1196","0.1131","8.122E-4","0.00679","0.08206","-0.1254","0.2917","0.1107","-2.262","0.101","0","0","0.2533","0","0.1103","4.368E-5","0.03102","0.1004","-1.0E27","2.92E-5","2.56E-5","0.3444","0","0.1632","-3.16E-4","0.1084","0","0.5016","0","0.001808","0.03783","-1.0E27","0.02176","0.09768","0.3451","0.1164","0.1536","0.4643","0.04024","1.859E-6","0.5212","0.03355","0.03729","0.0656","-0.06209","1.88E-4","0","0.1042","0.001267","0.1091","0","-0.1581","0.02468","-2.992E-5","0","0","0.2462","-0.3101","3.755E-5","0","0.03264","600","-1.0E27","14","0","0.1027","26","0.4052","0.1014","0.04294","0.5453","2.9E-5","0.97","0","0.1109","0.1051","0","0.101","0","-1.454E-4","0.002181","-0.009516","18264"
"12","0.04976","0.04185","0.01336","-1.0E27","0","0.03607","0.102","0","-0.02799","-0.0833","0","2.881E-5","-0.009514","0.5917","2.366E-5","0","0.01676","5.199E-5","0","-0.03215","-1.0E27","0","-1.0E27","false","0.1182","0","-1.0E27","0","0","4.557E-5","0","0.65","-0.487","0.1875","0","0.01858","0","0","-1.0E27","0","0","0.7975","0.3253","0.6001","0.1196","0.1131","8.122E-4","0.00679","0.08206","-0.1254","0.2917","0.1107","-2.262","0.101","0","0","0.2533","0","0.1103","4.368E-5","0.03102","0.1004","-1.0E27","2.92E-5","2.56E-5","0.3444","0","0.1632","-3.16E-4","0.1084","0","0.5016","0","0.001808","0.03783","-1.0E27","0.02176","0.09768","0.3451","0.1164","0.1536","0.4643","0.04024","1.859E-6","0.5212","0.03355","0.03729","0.0656","-0.06209","1.88E-4","0","0.1042","0.001267","0.1091","0","-0.1581","0.02468","-2.992E-5","0","0","0.2462","-0.3101","3.755E-5","0","0.03264","600","-1.0E27","14","0","0.1027","26","0.4052","0.1014","0.04294","0.5453","2.9E-5","0.97","0","0.1109","0.1051","0","0.101","0","-1.454E-4","0.002181","-0.009516","18264"
"13","0.04976","0.04185","0.01336","-1.0E27","0","0.03607","0.102","0","-0.02799","-0.0833","0","2.881E-5","-0.009514","0.5917","2.366E-5","0","0.01676","5.199E-5","0","-0.03215","-1.0E27","0","-1.0E27","false","0.1182","0","-1.0E27","0","0","4.557E-5","0","0.65","-0.487","0.1875","0","0.01858","0","0","-1.0E27","0","0","0.7975","0.3253","0.6001","0.1196","0.1131","8.122E-4","0.00679","0.08206","-0.1254","0.2917","0.1107","-2.262","0.101","0","0","0.2533","0","0.1103","4.368E-5","0.03102","0.1004","-1.0E27","2.92E-5","2.56E-5","0.3444","0","0.1632","-3.16E-4","0.1084","0","0.5016","0","0.001808","0.03783","-1.0E27","0.02176","0.09768","0.3451","0.1164","0.1536","0.4643","0.04024","1.859E-6","0.5212","0.03355","0.03729","0.0656","-0.06209","1.88E-4","0","0.1042","0.001267","0.1091","0","-0.1581","0.02468","-2.992E-5","0","0","0.2462","-0.3101","3.755E-5","0","0.03264","600","-1.0E27","14","0","0.1027","26","0.4052","0.1014","0.04294","0.5453","2.9E-5","0.97","0","0.1109","0.1051","0","0.101","0","-1.454E-4","0.002181","-0.009516","18264"
"7","0.04976","0.04185","0.01336","-1.0E27","0","0.03607","0.102","0","-0.02799","-0.0833","0","2.881E-5","-0.009514","0.5917","2.366E-5","0","0.01676","5.199E-5","0","-0.03215","-1.0E27","0","-1.0E27","false","0.1182","0","-1.0E27","0","0","4.557E-5","0","0.65","-0.487","0.1875","0","0.01858","0","0","-1.0E27","0","0","0.7975","0.3253","0.6001","0.1196","0.1131","8.122E-4","0.00679","0.08206","-0.1254","0.2917","0.1107","-2.262","0.101","0","0","0.2533","0","0.1103","4.368E-5","0.03102","0.1004","-1.0E27","2.92E-5","2.56E-5","0.3444","0","0.1632","-3.16E-4","0.1084","0","0.5016","0","0.001808","0.03783","-1.0E27","0.02176","0.09768","0.3451","0.1164","0.1536","0.4643","0.04024","1.859E-6","0.5212","0.03355","0.03729","0.0656","-0.06209","1.88E-4","0","0.1042","0.001267","0.1091","0","-0.1581","0.02468","-2.992E-5","0","0","0.2462","-0.3101","3.755E-5","0","0.03264","600","-1.0E27","14","0","0.1027","26","0.4052","0.1014","0.04294","0.5453","2.9E-5","0.97","0","0.1109","0.1051","0","0.101","0","-1.454E-4","0.002181","-0.009516","18264"
"6","0.04976","0.04185","0.01336","-1.0E27","0","0.03607","0.102","0","-0.02799","-0.0833","0","2.881E-5","-0.009514","0.5917","2.366E-5","0","0.01676","5.199E-5","0","-0.03215","-1.0E27","0","-1.0E27","false","0.1182","0","-1.0E27","0","0","4.557E-5","0","0.65","-0.487","0.1875","0","0.01858","0","0","-1.0E27","0","0","0.7975","0.3253","0.6001","0.1196","0.1131","8.122E-4","0.00679","0.08206","-0.1254","0.2917","0.1107","-2.262","0.101","0","0","0.2533","0","0.1103","4.368E-5","0.03102","0.1004","-1.0E27","2.92E-5","2.56E-5","0.3444","0","0.1632","-3.16E-4","0.1084","0","0.5016","0","0.001808","0.03783","-1.0E27","0.02176","0.09768","0.3451","0.1164","0.1536","0.4643","0.04024","1.859E-6","0.5212","0.03355","0.03729","0.0656","-0.06209","1.88E-4","0","0.1042","0.001267","0.1091","0","-0.1581","0.02468","-2.992E-5","0","0","0.2462","-0.3101","3.755E-5","0","0.03264","600","-1.0E27","14","0","0.1027","26","0.4052","0.1014","0.04294","0.5453","2.9E-5","0.97","0","0.1109","0.1051","0","0.101","0","-1.454E-4","0.002181","-0.009516","18264"
"20","0.04976","0.04185","0.01336","-1.0E27","0","0.03607","0.102","0","-0.02799","-0.0833","0","2.881E-5","-0.009514","0.5917","2.366E-5","0","0.01676","5.199E-5","0","-0.03215","-1.0E27","0","-1.0E27","false","0.1182","0","-1.0E27","0","0","4.557E-5","0","0.65","-0.487","0.1875","0","0.01858","0","0","-1.0E27","0","0","0.7975","0.3253","0.6001","0.1196","0.1131","8.122E-4","0.00679","0.08206","-0.1254","0.2917","0.1107","-2.262","0.101","0","0","0.2533","0","0.1103","4.368E-5","0.03102","0.1004","-1.0E27","2.92E-5","2.56E-5","0.3444","0","0.1632","-3.16E-4","0.1084","0","0.5016","0","0.001808","0.03783","-1.0E27","0.02176","0.09768","0.3451","0.1164","0.1536","0.4643","0.04024","1.859E-6","0.5212","0.03355","0.03729","0.0656","-0.06209","1.88E-4","0","0.1042","0.001267","0.1091","0","-0.1581","0.02468","-2.992E-5","0","0","0.2462","-0.3101","3.755E-5","0","0.03264","600","-1.0E27","14","0","0.1027","26","0.4052","0.1014","0.04294","0.5453","2.9E-5","0.97","0","0.1109","0.1051","0","0.101","0","-1.454E-4","0.002181","-0.009516","18264"
"9","0.04976","0.04185","0.01336","-1.0E27","0","0.03607","0.102","0","-0.02799","-0.0833","0","2.881E-5","-0.009514","0.5917","2.366E-5","0","0.01676","5.199E-5","0","-0.03215","-1.0E27","0","-1.0E27","false","0.1182","0","-1.0E27","0","0","4.557E-5","0","0.65","-0.487","0.1875","0","0.01858","0","0","-1.0E27","0","0","0.7975","0.3253","0.6001","0.1196","0.1131","8.122E-4","0.00679","0.08206","-0.1254","0.2917","0.1107","-2.262","0.101","0","0","0.2533","0","0.1103","4.368E-5","0.03102","0.1004","-1.0E27","2.92E-5","2.56E-5","0.3444","0","0.1632","-3.16E-4","0.1084","0","0.5016","0","0.001808","0.03783","-1.0E27","0.02176","0.09768","0.3451","0.1164","0.1536","0.4643","0.04024","1.859E-6","0.5212","0.03355","0.03729","0.0656","-0.06209","1.88E-4","0","0.1042","0.001267","0.1091","0","-0.1581","0.02468","-2.992E-5","0","0","0.2462","-0.3101","3.755E-5","0","0.03264","600","-1.0E27","14","0","0.1027","26","0.4052","0.1014","0.04294","0.5453","2.9E-5","0.97","0","0.1109","0.1051","0","0.101","0","-1.454E-4","0.002181","-0.009516","18264"
