"BehaviorSpace results (NetLogo 6.3.0)"
"deer_model_6_bestmodel1&dist2release.nlogo"
"100 sims"
"05/29/2025 18:00:33:694 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-551","551","-879","879"
"[run number]","se-agricultural:step-length:winter:female","se-bare:step-length:summer:male","beta-slope:turning-angle","beta-wetlands:turning-angle","se-wetlands:step-length:summer:male","se-forest:step-length:summer:male","se-scrub:turning-angle","se-artificial:step-length:summer:female","beta-bare:step-length:summer:male","beta-bare:step-length:winter:female","beta-forest:step-length:summer:female","se-forest:distance-to-road","beta-slope:summer","beta-forest:step-length","beta-forest:distance-to-road","se-slope:winter","se-distance-from-release","beta-distance-to-road:turning-angle","beta-artificial","beta-forest:step-length:winter:male","beta-wetlands:step-length","beta-agricultural:step-length:summer:female","beta-wetlands:step-length:winter:female","pen-down?","beta-agricultural:step-length:winter:male","se-artificial:distance-to-road","beta-wetlands","se-agricultural:step-length:summer:female","se-distance-to-road:summer","se-wetlands:step-length:winter:male","se-wetlands:step-length:summer:female","annual-birth-prob","beta-distance-from-release","beta-forest:turning-angle","beta-artificial:turning-angle","se-forest:step-length:winter:female","se-wetlands:step-length","se-wetlands","beta-wetlands:step-length:winter:male","se-bare:step-length:summer:female","se-distance-to-road:winter","beta-bare:turning-angle","beta-agricultural","se-artificial:step-length:winter:female","beta-agricultural:step-length","se-bare:step-length","se-slope:step-length","beta-forest:step-length:winter:female","se-agricultural:step-length:winter:male","beta-agricultural:turning-angle","beta-scrub:turning-angle","se-step-length","beta-turning-angle","beta-agricultural:step-length:winter:female","beta-distance-to-road:winter","se-artificial:turning-angle","beta-agricultural:step-length:summer:male","se-wetlands:turning-angle","se-forest:step-length","se-distance-to-road","se-scrub:step-length:summer:male","se-scrub","beta-wetlands:distance-to-road","se-bare:distance-to-road","beta-scrub:distance-to-road","beta-scrub","se-wetlands:step-length:winter:female","se-artificial:step-length:winter:male","beta-distance-to-road","se-agricultural:turning-angle","se-artificial","beta-artificial:step-length:summer:male","beta-scrub:step-length:summer:female","se-slope","se-bare:step-length:winter:female","beta-wetlands:step-length:summer:male","se-forest","beta-slope","beta-artificial:step-length:winter:female","se-agricultural:step-length","beta-scrub:step-length:summer:male","beta-scrub:step-length","se-bare:step-length:winter:male","beta-bare","se-distance-to-road:turning-angle","se-scrub:step-length:winter:male","se-forest:step-length:winter:male","se-agricultural:step-length:summer:male","beta-bare:step-length:winter:male","beta-distance-to-road:summer","se-artificial:step-length","se-bare:turning-angle","se-slope:turning-angle","se-agricultural","beta-bare:step-length:summer:female","beta-artificial:step-length:winter:male","se-scrub:step-length:winter:female","beta-bare:distance-to-road","beta-artificial:distance-to-road","beta-forest","beta-slope:winter","beta-step-length","se-agricultural:distance-to-road","beta-artificial:step-length:summer:female","beta-scrub:step-length:winter:male","profile-tick-number","max-lifespan-years","beta-wetlands:step-length:summer:female","beta-artificial:step-length","se-turning-angle","max-step-distance","se-artificial:step-length:summer:male","se-forest:turning-angle","beta-scrub:step-length:winter:female","beta-bare:step-length","se-scrub:distance-to-road","annual-survival-prob","se-wetlands:distance-to-road","se-scrub:step-length","se-bare","se-forest:step-length:summer:female","beta-forest:step-length:summer:male","se-scrub:step-length:summer:female","beta-agricultural:distance-to-road","se-slope:summer","beta-slope:step-length","[step]"
"11","0.0493340599672136","0.04190524974611","0.00904324706412455","-1.0E27","0","0.0353364689035707","0.102978986301144","0","-0.034699764413956","-0.0871366331653598","0","0.0355512366508593","-0.0125029344149241","0.538532805592645","0.0267846256015655","0","0","0.148379056270227","0","0.0192610407639364","-1.0E27","0","-1.0E27","true","0.0493934233556851","0","-1.0E27","0","0.0311010390550127","0","0","0.65","-0.5","-0.0262182446074219","0","0.0182589798551276","0","0","-1.0E27","0","0","0.536239697394549","1.30707643302806","0.118596633849117","0.568945390616945","0.109727569566467","8.09133311833045E-4","0.0140116992653785","0.0832456574391269","-0.419708823497002","0.0327472811652309","0.107406231285947","-2.78783818828574","-0.00251210564434179","0","0","0.258758587040516","0","0.106778991169404","0.0368058860666508","0.0305614791374753","0.224727638588186","-1.0E27","0.0402692245187032","-0.04120581757881","0.609738380725556","0.0372901624933728","0.157058170717006","0.0135678807885984","0.108353655332371","0","0.233204332453198","0","0.00183827938722221","0.0372901624933728","-1.0E27","0.204758649001091","0.025518851504783","0.253569683848898","0.112870405981353","0.117495298879353","0.42893733037284","0.0406090448357709","1.55328679940249","0.00655605509221779","0.0334920734007395","0.0372591325695567","0.0636615555644124","-0.0490732603869804","0.0877498936684734","0","0.104711821024613","0.00125971722362838","0.231910053591412","0","-0.110619540831889","0.0245729205316433","-0.191206900814103","0","-0.00491848470064734","0","-0.277981115906896","0.0393866065041926","0","0.0271160497875645","600","14","-1.0E27","0","0.10743227235049","26","0.333271935726846","0.102359124697231","0.0274316880128998","0.50718636136521","0.0375446583250768","0.97","0","0.10753258211162","0.252529144111392","0","0.122465917359963","0","-0.18977662926457","0.00221782055170543","0.00965050948976871","18264"
"8","0.0493340599672136","0.04190524974611","0.00904324706412455","-1.0E27","0","0.0353364689035707","0.102978986301144","0","-0.034699764413956","-0.0871366331653598","0","0.0355512366508593","-0.0125029344149241","0.538532805592645","0.0267846256015655","0","0","0.148379056270227","0","0.0192610407639364","-1.0E27","0","-1.0E27","true","0.0493934233556851","0","-1.0E27","0","0.0311010390550127","0","0","0.65","-0.5","-0.0262182446074219","0","0.0182589798551276","0","0","-1.0E27","0","0","0.536239697394549","1.30707643302806","0.118596633849117","0.568945390616945","0.109727569566467","8.09133311833045E-4","0.0140116992653785","0.0832456574391269","-0.419708823497002","0.0327472811652309","0.107406231285947","-2.78783818828574","-0.00251210564434179","0","0","0.258758587040516","0","0.106778991169404","0.0368058860666508","0.0305614791374753","0.224727638588186","-1.0E27","0.0402692245187032","-0.04120581757881","0.609738380725556","0.0372901624933728","0.157058170717006","0.0135678807885984","0.108353655332371","0","0.233204332453198","0","0.00183827938722221","0.0372901624933728","-1.0E27","0.204758649001091","0.025518851504783","0.253569683848898","0.112870405981353","0.117495298879353","0.42893733037284","0.0406090448357709","1.55328679940249","0.00655605509221779","0.0334920734007395","0.0372591325695567","0.0636615555644124","-0.0490732603869804","0.0877498936684734","0","0.104711821024613","0.00125971722362838","0.231910053591412","0","-0.110619540831889","0.0245729205316433","-0.191206900814103","0","-0.00491848470064734","0","-0.277981115906896","0.0393866065041926","0","0.0271160497875645","600","14","-1.0E27","0","0.10743227235049","26","0.333271935726846","0.102359124697231","0.0274316880128998","0.50718636136521","0.0375446583250768","0.97","0","0.10753258211162","0.252529144111392","0","0.122465917359963","0","-0.18977662926457","0.00221782055170543","0.00965050948976871","18264"
"20","0.0493340599672136","0.04190524974611","0.00904324706412455","-1.0E27","0","0.0353364689035707","0.102978986301144","0","-0.034699764413956","-0.0871366331653598","0","0.0355512366508593","-0.0125029344149241","0.538532805592645","0.0267846256015655","0","0","0.148379056270227","0","0.0192610407639364","-1.0E27","0","-1.0E27","true","0.0493934233556851","0","-1.0E27","0","0.0311010390550127","0","0","0.65","-0.5","-0.0262182446074219","0","0.0182589798551276","0","0","-1.0E27","0","0","0.536239697394549","1.30707643302806","0.118596633849117","0.568945390616945","0.109727569566467","8.09133311833045E-4","0.0140116992653785","0.0832456574391269","-0.419708823497002","0.0327472811652309","0.107406231285947","-2.78783818828574","-0.00251210564434179","0","0","0.258758587040516","0","0.106778991169404","0.0368058860666508","0.0305614791374753","0.224727638588186","-1.0E27","0.0402692245187032","-0.04120581757881","0.609738380725556","0.0372901624933728","0.157058170717006","0.0135678807885984","0.108353655332371","0","0.233204332453198","0","0.00183827938722221","0.0372901624933728","-1.0E27","0.204758649001091","0.025518851504783","0.253569683848898","0.112870405981353","0.117495298879353","0.42893733037284","0.0406090448357709","1.55328679940249","0.00655605509221779","0.0334920734007395","0.0372591325695567","0.0636615555644124","-0.0490732603869804","0.0877498936684734","0","0.104711821024613","0.00125971722362838","0.231910053591412","0","-0.110619540831889","0.0245729205316433","-0.191206900814103","0","-0.00491848470064734","0","-0.277981115906896","0.0393866065041926","0","0.0271160497875645","600","14","-1.0E27","0","0.10743227235049","26","0.333271935726846","0.102359124697231","0.0274316880128998","0.50718636136521","0.0375446583250768","0.97","0","0.10753258211162","0.252529144111392","0","0.122465917359963","0","-0.18977662926457","0.00221782055170543","0.00965050948976871","18264"
"17","0.0493340599672136","0.04190524974611","0.00904324706412455","-1.0E27","0","0.0353364689035707","0.102978986301144","0","-0.034699764413956","-0.0871366331653598","0","0.0355512366508593","-0.0125029344149241","0.538532805592645","0.0267846256015655","0","0","0.148379056270227","0","0.0192610407639364","-1.0E27","0","-1.0E27","true","0.0493934233556851","0","-1.0E27","0","0.0311010390550127","0","0","0.65","-0.5","-0.0262182446074219","0","0.0182589798551276","0","0","-1.0E27","0","0","0.536239697394549","1.30707643302806","0.118596633849117","0.568945390616945","0.109727569566467","8.09133311833045E-4","0.0140116992653785","0.0832456574391269","-0.419708823497002","0.0327472811652309","0.107406231285947","-2.78783818828574","-0.00251210564434179","0","0","0.258758587040516","0","0.106778991169404","0.0368058860666508","0.0305614791374753","0.224727638588186","-1.0E27","0.0402692245187032","-0.04120581757881","0.609738380725556","0.0372901624933728","0.157058170717006","0.0135678807885984","0.108353655332371","0","0.233204332453198","0","0.00183827938722221","0.0372901624933728","-1.0E27","0.204758649001091","0.025518851504783","0.253569683848898","0.112870405981353","0.117495298879353","0.42893733037284","0.0406090448357709","1.55328679940249","0.00655605509221779","0.0334920734007395","0.0372591325695567","0.0636615555644124","-0.0490732603869804","0.0877498936684734","0","0.104711821024613","0.00125971722362838","0.231910053591412","0","-0.110619540831889","0.0245729205316433","-0.191206900814103","0","-0.00491848470064734","0","-0.277981115906896","0.0393866065041926","0","0.0271160497875645","600","14","-1.0E27","0","0.10743227235049","26","0.333271935726846","0.102359124697231","0.0274316880128998","0.50718636136521","0.0375446583250768","0.97","0","0.10753258211162","0.252529144111392","0","0.122465917359963","0","-0.18977662926457","0.00221782055170543","0.00965050948976871","18264"
"7","0.0493340599672136","0.04190524974611","0.00904324706412455","-1.0E27","0","0.0353364689035707","0.102978986301144","0","-0.034699764413956","-0.0871366331653598","0","0.0355512366508593","-0.0125029344149241","0.538532805592645","0.0267846256015655","0","0","0.148379056270227","0","0.0192610407639364","-1.0E27","0","-1.0E27","true","0.0493934233556851","0","-1.0E27","0","0.0311010390550127","0","0","0.65","-0.5","-0.0262182446074219","0","0.0182589798551276","0","0","-1.0E27","0","0","0.536239697394549","1.30707643302806","0.118596633849117","0.568945390616945","0.109727569566467","8.09133311833045E-4","0.0140116992653785","0.0832456574391269","-0.419708823497002","0.0327472811652309","0.107406231285947","-2.78783818828574","-0.00251210564434179","0","0","0.258758587040516","0","0.106778991169404","0.0368058860666508","0.0305614791374753","0.224727638588186","-1.0E27","0.0402692245187032","-0.04120581757881","0.609738380725556","0.0372901624933728","0.157058170717006","0.0135678807885984","0.108353655332371","0","0.233204332453198","0","0.00183827938722221","0.0372901624933728","-1.0E27","0.204758649001091","0.025518851504783","0.253569683848898","0.112870405981353","0.117495298879353","0.42893733037284","0.0406090448357709","1.55328679940249","0.00655605509221779","0.0334920734007395","0.0372591325695567","0.0636615555644124","-0.0490732603869804","0.0877498936684734","0","0.104711821024613","0.00125971722362838","0.231910053591412","0","-0.110619540831889","0.0245729205316433","-0.191206900814103","0","-0.00491848470064734","0","-0.277981115906896","0.0393866065041926","0","0.0271160497875645","600","14","-1.0E27","0","0.10743227235049","26","0.333271935726846","0.102359124697231","0.0274316880128998","0.50718636136521","0.0375446583250768","0.97","0","0.10753258211162","0.252529144111392","0","0.122465917359963","0","-0.18977662926457","0.00221782055170543","0.00965050948976871","18264"
"2","0.0493340599672136","0.04190524974611","0.00904324706412455","-1.0E27","0","0.0353364689035707","0.102978986301144","0","-0.034699764413956","-0.0871366331653598","0","0.0355512366508593","-0.0125029344149241","0.538532805592645","0.0267846256015655","0","0","0.148379056270227","0","0.0192610407639364","-1.0E27","0","-1.0E27","true","0.0493934233556851","0","-1.0E27","0","0.0311010390550127","0","0","0.65","-0.5","-0.0262182446074219","0","0.0182589798551276","0","0","-1.0E27","0","0","0.536239697394549","1.30707643302806","0.118596633849117","0.568945390616945","0.109727569566467","8.09133311833045E-4","0.0140116992653785","0.0832456574391269","-0.419708823497002","0.0327472811652309","0.107406231285947","-2.78783818828574","-0.00251210564434179","0","0","0.258758587040516","0","0.106778991169404","0.0368058860666508","0.0305614791374753","0.224727638588186","-1.0E27","0.0402692245187032","-0.04120581757881","0.609738380725556","0.0372901624933728","0.157058170717006","0.0135678807885984","0.108353655332371","0","0.233204332453198","0","0.00183827938722221","0.0372901624933728","-1.0E27","0.204758649001091","0.025518851504783","0.253569683848898","0.112870405981353","0.117495298879353","0.42893733037284","0.0406090448357709","1.55328679940249","0.00655605509221779","0.0334920734007395","0.0372591325695567","0.0636615555644124","-0.0490732603869804","0.0877498936684734","0","0.104711821024613","0.00125971722362838","0.231910053591412","0","-0.110619540831889","0.0245729205316433","-0.191206900814103","0","-0.00491848470064734","0","-0.277981115906896","0.0393866065041926","0","0.0271160497875645","600","14","-1.0E27","0","0.10743227235049","26","0.333271935726846","0.102359124697231","0.0274316880128998","0.50718636136521","0.0375446583250768","0.97","0","0.10753258211162","0.252529144111392","0","0.122465917359963","0","-0.18977662926457","0.00221782055170543","0.00965050948976871","18264"
"1","0.0493340599672136","0.04190524974611","0.00904324706412455","-1.0E27","0","0.0353364689035707","0.102978986301144","0","-0.034699764413956","-0.0871366331653598","0","0.0355512366508593","-0.0125029344149241","0.538532805592645","0.0267846256015655","0","0","0.148379056270227","0","0.0192610407639364","-1.0E27","0","-1.0E27","true","0.0493934233556851","0","-1.0E27","0","0.0311010390550127","0","0","0.65","-0.5","-0.0262182446074219","0","0.0182589798551276","0","0","-1.0E27","0","0","0.536239697394549","1.30707643302806","0.118596633849117","0.568945390616945","0.109727569566467","8.09133311833045E-4","0.0140116992653785","0.0832456574391269","-0.419708823497002","0.0327472811652309","0.107406231285947","-2.78783818828574","-0.00251210564434179","0","0","0.258758587040516","0","0.106778991169404","0.0368058860666508","0.0305614791374753","0.224727638588186","-1.0E27","0.0402692245187032","-0.04120581757881","0.609738380725556","0.0372901624933728","0.157058170717006","0.0135678807885984","0.108353655332371","0","0.233204332453198","0","0.00183827938722221","0.0372901624933728","-1.0E27","0.204758649001091","0.025518851504783","0.253569683848898","0.112870405981353","0.117495298879353","0.42893733037284","0.0406090448357709","1.55328679940249","0.00655605509221779","0.0334920734007395","0.0372591325695567","0.0636615555644124","-0.0490732603869804","0.0877498936684734","0","0.104711821024613","0.00125971722362838","0.231910053591412","0","-0.110619540831889","0.0245729205316433","-0.191206900814103","0","-0.00491848470064734","0","-0.277981115906896","0.0393866065041926","0","0.0271160497875645","600","14","-1.0E27","0","0.10743227235049","26","0.333271935726846","0.102359124697231","0.0274316880128998","0.50718636136521","0.0375446583250768","0.97","0","0.10753258211162","0.252529144111392","0","0.122465917359963","0","-0.18977662926457","0.00221782055170543","0.00965050948976871","18264"
"9","0.0493340599672136","0.04190524974611","0.00904324706412455","-1.0E27","0","0.0353364689035707","0.102978986301144","0","-0.034699764413956","-0.0871366331653598","0","0.0355512366508593","-0.0125029344149241","0.538532805592645","0.0267846256015655","0","0","0.148379056270227","0","0.0192610407639364","-1.0E27","0","-1.0E27","true","0.0493934233556851","0","-1.0E27","0","0.0311010390550127","0","0","0.65","-0.5","-0.0262182446074219","0","0.0182589798551276","0","0","-1.0E27","0","0","0.536239697394549","1.30707643302806","0.118596633849117","0.568945390616945","0.109727569566467","8.09133311833045E-4","0.0140116992653785","0.0832456574391269","-0.419708823497002","0.0327472811652309","0.107406231285947","-2.78783818828574","-0.00251210564434179","0","0","0.258758587040516","0","0.106778991169404","0.0368058860666508","0.0305614791374753","0.224727638588186","-1.0E27","0.0402692245187032","-0.04120581757881","0.609738380725556","0.0372901624933728","0.157058170717006","0.0135678807885984","0.108353655332371","0","0.233204332453198","0","0.00183827938722221","0.0372901624933728","-1.0E27","0.204758649001091","0.025518851504783","0.253569683848898","0.112870405981353","0.117495298879353","0.42893733037284","0.0406090448357709","1.55328679940249","0.00655605509221779","0.0334920734007395","0.0372591325695567","0.0636615555644124","-0.0490732603869804","0.0877498936684734","0","0.104711821024613","0.00125971722362838","0.231910053591412","0","-0.110619540831889","0.0245729205316433","-0.191206900814103","0","-0.00491848470064734","0","-0.277981115906896","0.0393866065041926","0","0.0271160497875645","600","14","-1.0E27","0","0.10743227235049","26","0.333271935726846","0.102359124697231","0.0274316880128998","0.50718636136521","0.0375446583250768","0.97","0","0.10753258211162","0.252529144111392","0","0.122465917359963","0","-0.18977662926457","0.00221782055170543","0.00965050948976871","18264"
"14","0.0493340599672136","0.04190524974611","0.00904324706412455","-1.0E27","0","0.0353364689035707","0.102978986301144","0","-0.034699764413956","-0.0871366331653598","0","0.0355512366508593","-0.0125029344149241","0.538532805592645","0.0267846256015655","0","0","0.148379056270227","0","0.0192610407639364","-1.0E27","0","-1.0E27","true","0.0493934233556851","0","-1.0E27","0","0.0311010390550127","0","0","0.65","-0.5","-0.0262182446074219","0","0.0182589798551276","0","0","-1.0E27","0","0","0.536239697394549","1.30707643302806","0.118596633849117","0.568945390616945","0.109727569566467","8.09133311833045E-4","0.0140116992653785","0.0832456574391269","-0.419708823497002","0.0327472811652309","0.107406231285947","-2.78783818828574","-0.00251210564434179","0","0","0.258758587040516","0","0.106778991169404","0.0368058860666508","0.0305614791374753","0.224727638588186","-1.0E27","0.0402692245187032","-0.04120581757881","0.609738380725556","0.0372901624933728","0.157058170717006","0.0135678807885984","0.108353655332371","0","0.233204332453198","0","0.00183827938722221","0.0372901624933728","-1.0E27","0.204758649001091","0.025518851504783","0.253569683848898","0.112870405981353","0.117495298879353","0.42893733037284","0.0406090448357709","1.55328679940249","0.00655605509221779","0.0334920734007395","0.0372591325695567","0.0636615555644124","-0.0490732603869804","0.0877498936684734","0","0.104711821024613","0.00125971722362838","0.231910053591412","0","-0.110619540831889","0.0245729205316433","-0.191206900814103","0","-0.00491848470064734","0","-0.277981115906896","0.0393866065041926","0","0.0271160497875645","600","14","-1.0E27","0","0.10743227235049","26","0.333271935726846","0.102359124697231","0.0274316880128998","0.50718636136521","0.0375446583250768","0.97","0","0.10753258211162","0.252529144111392","0","0.122465917359963","0","-0.18977662926457","0.00221782055170543","0.00965050948976871","18264"
"18","0.0493340599672136","0.04190524974611","0.00904324706412455","-1.0E27","0","0.0353364689035707","0.102978986301144","0","-0.034699764413956","-0.0871366331653598","0","0.0355512366508593","-0.0125029344149241","0.538532805592645","0.0267846256015655","0","0","0.148379056270227","0","0.0192610407639364","-1.0E27","0","-1.0E27","true","0.0493934233556851","0","-1.0E27","0","0.0311010390550127","0","0","0.65","-0.5","-0.0262182446074219","0","0.0182589798551276","0","0","-1.0E27","0","0","0.536239697394549","1.30707643302806","0.118596633849117","0.568945390616945","0.109727569566467","8.09133311833045E-4","0.0140116992653785","0.0832456574391269","-0.419708823497002","0.0327472811652309","0.107406231285947","-2.78783818828574","-0.00251210564434179","0","0","0.258758587040516","0","0.106778991169404","0.0368058860666508","0.0305614791374753","0.224727638588186","-1.0E27","0.0402692245187032","-0.04120581757881","0.609738380725556","0.0372901624933728","0.157058170717006","0.0135678807885984","0.108353655332371","0","0.233204332453198","0","0.00183827938722221","0.0372901624933728","-1.0E27","0.204758649001091","0.025518851504783","0.253569683848898","0.112870405981353","0.117495298879353","0.42893733037284","0.0406090448357709","1.55328679940249","0.00655605509221779","0.0334920734007395","0.0372591325695567","0.0636615555644124","-0.0490732603869804","0.0877498936684734","0","0.104711821024613","0.00125971722362838","0.231910053591412","0","-0.110619540831889","0.0245729205316433","-0.191206900814103","0","-0.00491848470064734","0","-0.277981115906896","0.0393866065041926","0","0.0271160497875645","600","14","-1.0E27","0","0.10743227235049","26","0.333271935726846","0.102359124697231","0.0274316880128998","0.50718636136521","0.0375446583250768","0.97","0","0.10753258211162","0.252529144111392","0","0.122465917359963","0","-0.18977662926457","0.00221782055170543","0.00965050948976871","18264"
"23","0.0493340599672136","0.04190524974611","0.00904324706412455","-1.0E27","0","0.0353364689035707","0.102978986301144","0","-0.034699764413956","-0.0871366331653598","0","0.0355512366508593","-0.0125029344149241","0.538532805592645","0.0267846256015655","0","0","0.148379056270227","0","0.0192610407639364","-1.0E27","0","-1.0E27","true","0.0493934233556851","0","-1.0E27","0","0.0311010390550127","0","0","0.65","-0.5","-0.0262182446074219","0","0.0182589798551276","0","0","-1.0E27","0","0","0.536239697394549","1.30707643302806","0.118596633849117","0.568945390616945","0.109727569566467","8.09133311833045E-4","0.0140116992653785","0.0832456574391269","-0.419708823497002","0.0327472811652309","0.107406231285947","-2.78783818828574","-0.00251210564434179","0","0","0.258758587040516","0","0.106778991169404","0.0368058860666508","0.0305614791374753","0.224727638588186","-1.0E27","0.0402692245187032","-0.04120581757881","0.609738380725556","0.0372901624933728","0.157058170717006","0.0135678807885984","0.108353655332371","0","0.233204332453198","0","0.00183827938722221","0.0372901624933728","-1.0E27","0.204758649001091","0.025518851504783","0.253569683848898","0.112870405981353","0.117495298879353","0.42893733037284","0.0406090448357709","1.55328679940249","0.00655605509221779","0.0334920734007395","0.0372591325695567","0.0636615555644124","-0.0490732603869804","0.0877498936684734","0","0.104711821024613","0.00125971722362838","0.231910053591412","0","-0.110619540831889","0.0245729205316433","-0.191206900814103","0","-0.00491848470064734","0","-0.277981115906896","0.0393866065041926","0","0.0271160497875645","600","14","-1.0E27","0","0.10743227235049","26","0.333271935726846","0.102359124697231","0.0274316880128998","0.50718636136521","0.0375446583250768","0.97","0","0.10753258211162","0.252529144111392","0","0.122465917359963","0","-0.18977662926457","0.00221782055170543","0.00965050948976871","18264"
"33","0.0493340599672136","0.04190524974611","0.00904324706412455","-1.0E27","0","0.0353364689035707","0.102978986301144","0","-0.034699764413956","-0.0871366331653598","0","0.0355512366508593","-0.0125029344149241","0.538532805592645","0.0267846256015655","0","0","0.148379056270227","0","0.0192610407639364","-1.0E27","0","-1.0E27","true","0.0493934233556851","0","-1.0E27","0","0.0311010390550127","0","0","0.65","-0.5","-0.0262182446074219","0","0.0182589798551276","0","0","-1.0E27","0","0","0.536239697394549","1.30707643302806","0.118596633849117","0.568945390616945","0.109727569566467","8.09133311833045E-4","0.0140116992653785","0.0832456574391269","-0.419708823497002","0.0327472811652309","0.107406231285947","-2.78783818828574","-0.00251210564434179","0","0","0.258758587040516","0","0.106778991169404","0.0368058860666508","0.0305614791374753","0.224727638588186","-1.0E27","0.0402692245187032","-0.04120581757881","0.609738380725556","0.0372901624933728","0.157058170717006","0.0135678807885984","0.108353655332371","0","0.233204332453198","0","0.00183827938722221","0.0372901624933728","-1.0E27","0.204758649001091","0.025518851504783","0.253569683848898","0.112870405981353","0.117495298879353","0.42893733037284","0.0406090448357709","1.55328679940249","0.00655605509221779","0.0334920734007395","0.0372591325695567","0.0636615555644124","-0.0490732603869804","0.0877498936684734","0","0.104711821024613","0.00125971722362838","0.231910053591412","0","-0.110619540831889","0.0245729205316433","-0.191206900814103","0","-0.00491848470064734","0","-0.277981115906896","0.0393866065041926","0","0.0271160497875645","600","14","-1.0E27","0","0.10743227235049","26","0.333271935726846","0.102359124697231","0.0274316880128998","0.50718636136521","0.0375446583250768","0.97","0","0.10753258211162","0.252529144111392","0","0.122465917359963","0","-0.18977662926457","0.00221782055170543","0.00965050948976871","18264"
"24","0.0493340599672136","0.04190524974611","0.00904324706412455","-1.0E27","0","0.0353364689035707","0.102978986301144","0","-0.034699764413956","-0.0871366331653598","0","0.0355512366508593","-0.0125029344149241","0.538532805592645","0.0267846256015655","0","0","0.148379056270227","0","0.0192610407639364","-1.0E27","0","-1.0E27","true","0.0493934233556851","0","-1.0E27","0","0.0311010390550127","0","0","0.65","-0.5","-0.0262182446074219","0","0.0182589798551276","0","0","-1.0E27","0","0","0.536239697394549","1.30707643302806","0.118596633849117","0.568945390616945","0.109727569566467","8.09133311833045E-4","0.0140116992653785","0.0832456574391269","-0.419708823497002","0.0327472811652309","0.107406231285947","-2.78783818828574","-0.00251210564434179","0","0","0.258758587040516","0","0.106778991169404","0.0368058860666508","0.0305614791374753","0.224727638588186","-1.0E27","0.0402692245187032","-0.04120581757881","0.609738380725556","0.0372901624933728","0.157058170717006","0.0135678807885984","0.108353655332371","0","0.233204332453198","0","0.00183827938722221","0.0372901624933728","-1.0E27","0.204758649001091","0.025518851504783","0.253569683848898","0.112870405981353","0.117495298879353","0.42893733037284","0.0406090448357709","1.55328679940249","0.00655605509221779","0.0334920734007395","0.0372591325695567","0.0636615555644124","-0.0490732603869804","0.0877498936684734","0","0.104711821024613","0.00125971722362838","0.231910053591412","0","-0.110619540831889","0.0245729205316433","-0.191206900814103","0","-0.00491848470064734","0","-0.277981115906896","0.0393866065041926","0","0.0271160497875645","600","14","-1.0E27","0","0.10743227235049","26","0.333271935726846","0.102359124697231","0.0274316880128998","0.50718636136521","0.0375446583250768","0.97","0","0.10753258211162","0.252529144111392","0","0.122465917359963","0","-0.18977662926457","0.00221782055170543","0.00965050948976871","18264"
"21","0.0493340599672136","0.04190524974611","0.00904324706412455","-1.0E27","0","0.0353364689035707","0.102978986301144","0","-0.034699764413956","-0.0871366331653598","0","0.0355512366508593","-0.0125029344149241","0.538532805592645","0.0267846256015655","0","0","0.148379056270227","0","0.0192610407639364","-1.0E27","0","-1.0E27","true","0.0493934233556851","0","-1.0E27","0","0.0311010390550127","0","0","0.65","-0.5","-0.0262182446074219","0","0.0182589798551276","0","0","-1.0E27","0","0","0.536239697394549","1.30707643302806","0.118596633849117","0.568945390616945","0.109727569566467","8.09133311833045E-4","0.0140116992653785","0.0832456574391269","-0.419708823497002","0.0327472811652309","0.107406231285947","-2.78783818828574","-0.00251210564434179","0","0","0.258758587040516","0","0.106778991169404","0.0368058860666508","0.0305614791374753","0.224727638588186","-1.0E27","0.0402692245187032","-0.04120581757881","0.609738380725556","0.0372901624933728","0.157058170717006","0.0135678807885984","0.108353655332371","0","0.233204332453198","0","0.00183827938722221","0.0372901624933728","-1.0E27","0.204758649001091","0.025518851504783","0.253569683848898","0.112870405981353","0.117495298879353","0.42893733037284","0.0406090448357709","1.55328679940249","0.00655605509221779","0.0334920734007395","0.0372591325695567","0.0636615555644124","-0.0490732603869804","0.0877498936684734","0","0.104711821024613","0.00125971722362838","0.231910053591412","0","-0.110619540831889","0.0245729205316433","-0.191206900814103","0","-0.00491848470064734","0","-0.277981115906896","0.0393866065041926","0","0.0271160497875645","600","14","-1.0E27","0","0.10743227235049","26","0.333271935726846","0.102359124697231","0.0274316880128998","0.50718636136521","0.0375446583250768","0.97","0","0.10753258211162","0.252529144111392","0","0.122465917359963","0","-0.18977662926457","0.00221782055170543","0.00965050948976871","18264"
